,stars,tags,text
42,5,Positive,"I’d never ordered anything from Bahn Thai and honestly have had trouble finding a good Thai place in the area, but the food was amazing!!! The food quality was fresh, the noodles were not too greasy (which can be a problem with other places) and really just had the best meal. Would definitely order again."
43,3,Neutral,"food was great, glad for the vegetarian and low carb options (caulifower rice). i wish i could have ordered extra fajita veggies- hope chipotle makes that an option or at least has a place to write in requests.  2 stars knocked off were for the driver. not very courteous, and my food was delayed twice. so i guess that's more of a grubhub driver issue. "
44,5,Positive,Great food. Fantastic guacamole!
45,3,Positive,"I have to remind myself that this is essentially fast food, so with that in mind, it's decent food.  But fast it was not.  It took 90 minutes from the time I ordered until it was delivered - from a downtown location to a downtown location.  "
46,1,Neutral,Didn’t get chicken at all. 
47,5,Positive,I love chipotle they have great vegan options
48,1,Positive,Bring fresh food!
49,5,Positive,Yummy! Love chipotle as always
50,1,Positive,The restaurant was fine. I placed my order ahead for delivery at 1pm and my food arrived at 2pm.
51,1,Negative,This order was an epic fail. Who would just order bowls of meat. They should have questioned that as an odd order. I was charged $10 for a scoop of meat. 
52,5,Negative,"Food size is much bigger in store my daughter was so disappointed by her tiny burrito- said it felt
Like being right back in the regular cafeteria 😞"
53,1,Negative,"Chips were stale, part of the order was missing, and it was more than an hour late."
54,5,Positive,Good food and well priced.
55,5,Positive,We love Chipotle
56,3,Negative,"Good food, but getting my order wrong is unacceptable."
57,2,Negative,Low quality and no recommend to others
58,1,Positive,Good when the food shows up
59,4,Positive,Food is okay. Pack is good
60,5,Positive,"I love Bonchon! Their food is flavorful and yummy. The fried chicken is nice and crispy everytime, the coleslaw is awesome, and it's fast! "
61,2,Negative,Food order was delayed about an hour and my food was cold.
62,2,Positive,I got my food without a fork for a noodle dish!
63,5,Positive,Food was good!
64,2,Positive,"So I will say the food tasted fine. But the price you pay is not worth the portion size. Especially the pork bun which may have had less than an ounce of pork each. The wings are good but again for the price not worth paying that much for so few. Even the rice was a small portion! 
Really great flavors but I won’t be ordering from bonchon again."
65,5,Positive,When we're in the mood for BonChon- they've always come through with great food
66,5,Neutral,It is consistently good
67,4,Positive,"It is always good, we order it every couple of weeks."
68,5,Positive,One of the best
69,5,Positive,"Fries, popcorn shrimp and the spicy wing (boneless and with bone) are
my favorite. Skip the house rice and bulgogi. Many other places do it better."
70,1,Neutral,Food arrived cold
71,2,Positive,"The food was great, but the driver went to the wrong address."
72,5,Positive,I like spicy chicken and rice this place is the best
73,2,Negative,I ordered all flats and they gave me the opposite of what I ordered
74,5,Positive,"It's good, we order from there regularly."
75,5,Positive,I order from here almost every week. The fried chicken has a wonderful crispy shell and tender tasty meat. Fried Rice is very good. I never get sick of Bonchon!
76,3,Negative,One of the dishes was very good and one of the dishes was so cold and bland I could not eat it
77,4,Negative,Didn't put sauce on side boneless wings
78,5,Positive,I love it. I usually go in person because they're friendly and I love the tea-and-tapioca smell in the shop.
79,5,Positive,Everything I've ordered from here has been delicious
80,1,Negative,"The pieces are crazy TINY, like 3 inches long. I would NOT order again. "
81,5,Positive,"Delicious food, good portion sizes, good value."
82,5,Positive,"Food from Bonchon was amazing and my delivery driver Talon was absolutely top notch. On time, super friendly, and professional all at the same time. Great experiece."
83,5,Positive,"Very tasty, well packaged. Would eat again for sure!"
84,5,Negative,this place f****!!!
85,2,Negative,Driver came almost an hour later than the original estimated delivery time and was taking a slower route through Queen Anne to get to U District rather than through I-5 North
86,5,Positive,Such great food.  Family favorite.
87,3,Neutral,Not a fan
88,2,Negative,"The delivery was very late (40 mins) and food was cold by then. It tasted ok, likely better if the order went as planned. I’m not sure where the order delayed - the restaurant or the driver - contacted customer service and they at least refunded small part. I’ll have to think about next time. "
89,5,Positive,Great wings and drums!
90,3,Negative,Food was cold and the wrong items.
91,3,Negative,Tasteless chicken. Not worth the money. 
92,5,Neutral,Wish there were more vegetable options/sides
93,1,Negative,"Instructions were to leave at the front door. Driver didn't do that. He called per instructions, but when I didn't answer he just left. How about a text message?"
94,4,Positive,"The food was great overall. Bonchon is pricey but really good. Note that now the wings are no longer whole, so they count as 2 pieces of chicken.

The only problem I had was that the fries were packaged in a paper bag, which made a greasy mess of the overall packaging."
95,5,Positive,The food was good.
96,5,Negative,Boneless wings were very dry and had very little of the soy garlic coating.
97,3,Negative,"My order was delayed twice. By the time it arrived, the fried chicken was no longer crispy."
98,1,Negative,"Driver delivered the food after I called the assistant.
That’s really late to be honest"
99,4,Positive,"The driver did great. As for the restaurant, the food was delicious, but the restaurant was pretty slow in preparing the order and the ETA was completely off. "
100,5,Positive,Most consistent Korean fried chicken in North Seattle.
101,1,Negative,"The driver did a great job! But the restaurant didn't -- the order was very late, and the quality was poor compared to other Bonchon locations. I pre-ordered at noon to have the food by 1, and the order was pushed a few times, finally arriving after 2. The wings were very dried out, and unevenly breaded/sauced."
102,3,Negative,The wings are over-fried. They are too dry.
103,5,Neutral,I order from here all the time. The Garlic Soy fried chicken is soooo good. Love this place.
104,5,Positive,"Not super traditional, but still good! Really spicy 🥵"
105,5,Neutral,❤️❤️❤️❤️❤️‼️ love this place! 
106,2,Negative,This is the third time I received my order without the pickled radish. What gives???
107,3,Negative,Food was good but driver hung up on me during a call and didn't follow delivery instructions 
108,3,Negative,"The wings use to be the entire piece(drum,flat,tip) as shown on the pictures. Now it’s either just the drum or flat and counts as whole wing pieces. Very disappointed.  Not the best deal for the price you pay. "
109,5,Positive,Love this place! Food is 100% delicious! Not disappointed at all. lol
110,1,Negative,Very late. Cold food.
111,4,Positive,"Everything was basically perfect, but the coleslaw was a little  too sweet and had a bit of a bitter flavor to it. The chicken was amazing!!!"
112,5,Positive,The food is always very very good  and the service is prompt and very friendly. I highly recommend Bonchon
113,1,Negative,"I pre ordered prior to noon and set delivery for 3:30 pm but it didn't get delivered closer to 5pm.  Food was cold, fries were soggy.  Not the best experience."
114,1,Negative,"I placed the pick-up order at 12:01pm with an estimate of 30-40 min, and arrived at the restaurant at 12:40pm. I waited at the restaurant for another 30 min for my order. 

The receipt on my order actually shows that they didn’t start my order until I arrived for pick-up. While I was waiting there, they keep telling me that my order will be ready in a few minutes, and multiple people ordered after me have already got their food before me. "
115,5,Positive,"I have almost no sure way to tell anyone how AMAZING this restaurant is. We got the spicy chicken tacos, bulgogi house rice, and pork belly sliders. My mind is completely blown by the freshness, quality and taste of Bonchon. GET THIS NOW. GIVE THEM ALL YOUR MONEY. ALL GLORY TO THE HYPNOTOAD."
116,5,Positive,Good quality and tasty
117,3,Negative,did NOT skip the utensils and napkins as requested. My main hesitation with ordering delivery/takeout is with all the extra single use package and utensils. It's annoying that you can't fulfill this request to NOT add utensils and napkins when it doesn't cost you anything.
118,3,Positive,Food was fine but they made it too soon so it was cold when I got it.
119,3,Neutral,Left out my sides. Slaw and radishes.
120,5,Positive,"Great food, expensive"
121,4,Positive,"Food was delicious. Good portions. It was cold though, but I don't think that's on the restaurant. The driver or seam less is responsible"
122,4,Neutral,The sides were missing
123,5,Positive,Always tasty! Wish there were an option to order a side of sauce.
124,5,Positive,They were very courteous. Actually called to make sure they understood my special request. I truly appreciate that.!
125,4,Negative,Side dishes were missing 
126,3,Positive,Tastes great. Good breading on chicken
127,2,Neutral,"The chicken was disappointing. The crust was soggy; seemed like they packed too much chicken in too small a box ruining the crust.

I've had better delivery from Bon Chon before, so I know it's possible. "
128,3,Negative,Chicken was little dry than usual.
129,3,Neutral,basically a Buffalo Wild Wings without the blue cheese. 
130,5,Positive,"We've ordered from here a couple times, and haven't been disappointed! We usually expect the food to come here within an hour or so, and plan ahead of time. The food has been really good whenever we order Bonchon! "
131,4,Negative,Meh. Taste wasn't bad but not great
132,4,Positive,Tasty as always
133,2,Negative,Good food wasn't as good as the first time I ordered only got 1 drumstick out of 8 pieces
134,3,Positive,For the price that I paid the portions could have been a lot more. The rice and kimchi were fine the bulgogi was 17.95 and a very small portion for that amount. 
135,5,Positive,"The food arrrived fresh, hot and crispy. It was perfectly what we wanted! Thank you!"
136,5,Positive,Very good food
137,2,Positive,Bonchon is great but the delivery and driver experience was unsatisfactory
138,2,Negative,"The boneless wings are basically nuggets, not really worth the cost"
139,5,Neutral,"Great, consistent quality"
140,4,Negative,Delicious chicken but they got the sauce wrong on the boneless wings. Very disappointed. 
141,1,Negative,"I’ve order twice from this restaurant. They always confirm your order as soon as they get the order so you can’t cancel it then, never been delivered on time. Both of time, it was delayed for an hour. So I had to wait an hour and a half to two hours to get the food. Not worth it at all. "
142,1,Positive,I found eggshells on the fried egg. 
143,1,Negative,"Arrived cold, over cooked and 90 minutes late. "
144,5,Negative,I need to see a license plate of driver’s car in the app
145,1,Positive,"Wings sucked, delivery experience was great though!"
146,3,Negative,The front counter associate was not friendly and unhelpful when I asked for extra reddish even though it was noted in the order.
147,4,Positive,It was good for those days when you just want to forget about calories and indulge in fried comfort food
148,3,Neutral,I'd order again.
149,1,Negative,Terrible. Over 1.5 hours late. Cold. 
150,5,Positive,"The food is absolutely delicious. I consistently get the fried chicken, both wings and drumsticks, as it's just so great"
151,5,Positive,Great food! I'll definitely be getting their food again
152,3,Negative,The wings are too oily and soft. Make it more crispy would be better I think.
153,3,Negative,"Food from the restaurant was fine, but the order took more than an hour longer than it should have and arrived cold"
154,1,Neutral,I like Bonchon
155,5,Neutral,I had always wanted to try BonChon but it’s hard cause I live on the east side. I was so happy it could be delivered to me. The food was packed so neatly and was bountiful and delicious. The crisp of the fried chicken is nice and the sauces were yummy too. The pickled radish is the perfect condiment. I had a combo of sweet and soy flavors
156,5,Neutral,Best potstickers on the planet!
157,3,Negative,Everything was so salty I could barely eat it :( got the boneless wings. Tenders are better for sure 
158,4,Negative,The food was great! I didn’t appreciate the driver not wanting to cone to the door to deliver the food. I am recovering from pneumonia  - that was the point of ordering delivery.
159,5,Positive,The driver was OUTSTANDING!! Best driver I’ve EVER deliver from Grubhub 
160,5,Positive,It was better than expected!
161,4,Negative,The boneless wings are pretty good. The fried rice was totally blah and tasteless.
162,2,Negative,The boneless hot wings was a little over cooked. Deep fried too long that it made it hard to split it apart and chewing was a little rubbery
163,5,Positive,"Always a good option. Solid food, and phenomenal soda bread!"
164,3,Negative,Worst corn beef and cabbage I've Ever had
165,5,Positive,"Wonderful food and service and friendly, helpful people !"
166,2,Negative,"Food as expected, but hard to be pleased when delivery was over an hour past the original estimated time frame."
167,5,Neutral,First time and will order from there again
168,4,Positive,like this entree a lot; variety is great; delivery always on time if not early
169,5,Neutral,Great food all the time love it!!!
170,5,Positive,"Our Shepherd's Pie and Beef Stew were delicious. It was great to get a taste of Ireland.
"
171,4,Positive,Great food great quality good price
172,5,Positive,This restaurant is all about quality of ingredients. I repeatedly order food here. Food I can trust
173,5,Positive,"Enjoyed the Ruben Sandwich today. It was hot and delicious. Good amount of fries  and a pickle. 

Thank you for making lunch today. 

I plan on treating a friend to lunch at Shawn O’Donnell’s next week. 👍"
174,5,Neutral,The food hit the spot
175,5,Positive,Toasted sandwich was really good. Melted just right with lots of meat packed in great for lunch or dinner. Comes with side of fries. Definingly get again.  
176,5,Negative,"This is the third time I've ordered from there so I assume it's a fluke. Also never ordered during the dinner rush. Still not going to dock a star because it was still tasty! My tenders were over cooked, darker breading, and a bit dry. (Rather chicken over cooked than under.) And they sliced my bread which convenient, caused it to dry out and be cold. I don't know if it is normally served cut, first time at home I  recieved it like so. Coupon was offered with perks, making it in my budget."
177,5,Positive,Excellent food. Very tasty
178,5,Positive,Great home style food
179,4,Positive,"Really good food, but somewhat small portions. They keep forgetting the extra clam chowder I order on the side notes! Great Bread Pudding!"
180,2,Negative,"The food was decent the missing items a bummer...not filling enough by itself
I will try again..need the rueben in my life"
181,5,Neutral,Some of the best fishnchips I've had in a very long time!  Nicely cooked big pieces of fish and lots of fries and really tasty tarter sauce. Will definitely order from them again.
182,5,Positive,I love their Reuben sandwiches!
183,5,Positive,"Shawn O’Donnell’s was the restaurant my friend and I loved going to for lunch. Great location, food, service and prices. After stay at home mandate, though, we couldn’t visit. Furthermore, living in West Seattle without a car and the bridge has made it difficult for us to meet and enjoy their food, but ordering lunch delivery for my friend, who has returned to work, is the next best thing. It’s comforting during these difficult times. Goodness, do I miss their soda bread and clam chowder! "
184,4,Positive,"Great burger, fries, and bread. However, the mac&cheese had spices in it that made it taste a bit like egg nog to me. It’s still good, but weird. I probably won’t order the mac again, but I’ll still definitely order from this restaurant again. "
185,4,Neutral,The food was great but it took Hrubhub 1 hour forty minutes to deliver my burger when the eta was 25. 
186,5,Positive,I think I’m addicted to this place. STOP MAKING THE FOOD SO GOOD! 😖😅
187,3,Negative,Food was tasty but not what I ordered. So disappointed. 
188,3,Negative,First time trying it and it was okay. My order wasn't correct.
189,5,Positive,I loved the grilled salmon dinner.....perfectly grilled salmon and broccoli.....yummy!!! The
190,1,Negative,"Food and delivery time was pretty bad honestly, nothing special. Waffle fries were really soft and soggy, burger was pretty dry. If they can fix these issues, I’d definitely reorder, but for now I’m keeping this on my “do not reorder” list."
191,5,Positive,Delicious food packaged well!  
192,4,Positive,"Just a bit of advice for the restaurant: don’t put the plastic containers of dressing inside of hot food boxes, they will melt and leak everywhere. Otherwise food was great. "
193,5,Neutral,I will be ordering again
194,5,Positive,The food was SO GOOD! Will definitely be ordering again!
195,2,Negative,I ordered a Reuben and got something like burrito filling on soggy bread. Beans and corn and sloppy southwest meat goo
196,4,Positive,I'm usually pretty happy with the food from this place but I ordered the steak salad this time and it was really rather small for a meal. It was more like a side salad. The shepherd's pie was so so.
197,3,Neutral,"I understand that there are meat shortages, but I wish I knew they were subbing beef burgers for black bean burgers before I bit in"
198,1,Negative,"Over cooked Frozen Patty ,!It amazes me anyone would give more than two stars for a frozen patty  Sad"
199,5,Positive,Pints of beer was what we were craving and didn’t disappoint. Ability to buy a bottle of tequila was a bonus. Food was as good as pre quarantine!!
200,5,Positive,The food was delicious! We will have to try this place in person once quarantine orders are lifted🙌🏽
201,4,Negative,Food presented well but too salty.
202,5,Positive,Enjoyed their food.  First time ordering from them.  Really appreciated the service and taste of the items.
203,5,Neutral,Food taste amazing!! So good to have delicious corn beef!!! Thank you🙂
204,5,Positive,The food was perfect. Great flavor. Would order again.
205,5,Positive,Liked it. Will order again.
206,5,Positive,Food was good!  Nice to be able to get corned beef and cabbage
207,1,Neutral,Food was late and 
208,5,Positive,The Reuben sandwich was hearty with delicious sauce.  I would definitely recommend it!!!
209,4,Positive,Food was cold but nothing I couldn't warm up... great food
210,5,Positive,Excellent will certainly order again
211,2,Neutral,"Good food, incorrect order"
212,5,Neutral,The Corn beef and cabbage was fire
213,2,Negative,The restaurant was fine.  Delivery by grubhub driver was 45 min late.
214,1,Negative,"I received the most disappointing shepherds pie in existence. The portion was small, cold and came in two separate packages. This was just a hair above a Marie Calendar frozen meal... Certainly not worth the money."
215,3,Positive,Very fresh greens and good salmon but no caesar dressing.
216,4,Neutral,Food was almost cold
217,3,Positive,"Restaurant is awesome, food is great. It was just cold"
218,1,Negative,Half the stuff I ordered was not delivered.
219,4,Positive,"Food was great and still hot, very quick delivery. One problem, no condiments such as salt, pepper, ketchup etc. Overall a good experience."
220,4,Positive,Bacon was so good
221,1,Negative,"Items missing from the order. When I called driver he said call restaurant, not his fault. I called restaurant they said call grub hub... Not cool..."
222,1,Negative,"Missing items (no vinegar), no utensils, food was cold and fish was soggy."
223,5,Positive,Great place to eat!!
224,5,Positive,Their Shepher's pie is amazing!!!
225,5,Positive,"The fish and chips were great, but they left out the tartar sauce!"
226,5,Positive,"I've ordered from this place twice, and both times I was really impressed. Great flavors and delivery!"
227,5,Positive,Always love this restaurant
228,5,Positive,"Corned beef with potatoes and cabbage with horseradish sauce, it was totally amazing, loved it!"
229,2,Negative,They food was good but cold
230,5,Positive,This place has the best Shepherds Pie that I have ever tasked. 
231,5,Positive,"Because of Grubhub and the kind delivery guy and the people who made my food today, I can have dinner tonight in this stormy weather 
Food tastes warm and great "
232,5,Positive,The girl was extremely nice and I checked on her to make sure she was okay on these roads. She was very friendly and very professional. Thank you so much!
233,5,Positive,One of my new favorites
234,5,Positive,The food is fantastic.
235,5,Positive,Great food and great price.
236,4,Positive,"My family and I were visiting Seattle, and the power was out, so we needed food to come to us since the kitchen was inoperable.  None of us had tried GrubHub before, and we decided on Shawn O'Donnell's American Grill & Irish Pub for dinner. We ordered the Braised Pork, Mac & Cheese, Shepherd's Pie, Corned Beef and Cabbge, Soda Bread, Bread Pudding and the Boxty Cakes.  The food arrived  in the time indicated and the driver was very nice. The food was hot and well packaged. There was a little spillage in the bottom of the bag, but nothing major. The food was excellent, everything was delicious. As visitors to the city, we may not get the chance to try Shawn O'Donnell's again, but we definitely would if we come back. And we would definitely recommend them to anyone we know coming to the area."
237,4,Positive,I wish you could order a six pack of coke from here.   The Shepherd's Pie was pretty good.
238,3,Positive,Food was just OK. But not bad either.
239,5,Neutral,Great food for last minute delivery!
240,1,Negative,"I&rsquo;ve ordered from this restaurant before and it was very good. Unfortunately this time, on top of the order being late, the wrong item was delivered. I looked in the bag at whatever the item was, it smelled good but looked disheveled and messy and I couldn&rsquo;t tell what it had been but it certainly wasn&rsquo;t a bacon cheeseburger. I had to chase the driver down to return it to him. I&rsquo;m not sure if this is a problem with the restaurant or the driver but either way I wasn&rsquo;t happy."
241,2,Negative,"One of my items was missing.  They didn't answer the phone when I tried to get it delivered so grubhub gave me a credit.  I  would rather have my order correct than get a credit, but it's better than nothing."
242,3,Negative,Food was good but cold because it was quite late
243,5,Positive,Love the food!!! Always good
244,5,Positive,The pork shanks are amazing.
245,3,Negative,Food is excellent but delivery is messy
246,4,Negative,Ordered the corned beef and got french fries instead of mashed potatoes. I did not ask for that substitution. The corned beef was good though.
247,4,Positive,The food was amazing. The driver doesn't have very good customer service skills though.
248,5,Neutral,Some of the best corn beef and cabbage in town!!
249,5,Negative,"food was great, grub hub drivers however, frighten me, dude tried to deliver my stuff to the wrong address even after calling me and i told him where to go... unacceptable. 

the restaurant food was awesome though. nothing wrong there. "
250,5,Positive,Excellent food. Great delivery 
251,4,Positive,"Forgot my side of ranch! Oh how I love my ranch. Aside from that, however, top notch food and service."
252,5,Positive,Always delicious.  Best corned beef in the world and the best bread pudding 
253,4,Positive,Responsive and excellent food
254,5,Neutral,Food was good 
255,1,Negative,"I'm still waiting on my food. It says it was delivered, but I haven't gotten it :("
256,1,Negative,"Food was ice cold and uneatable. No condiments or napkin.
Horrible"
257,5,Neutral,Fish and chips were good
258,5,Positive,The menu looks fantastic and our orders were right on and still warm when delivered. Loved the special sauce used on the 🍔
259,5,Positive,The peppercorn bacon burger was amazing! Will definitely be ordering again. 
260,4,Positive,"Fantastic comfort food, and delicious any other time!"
261,1,Negative,"I ordered a Reuben and substituted a salad for the fries.  I got the fries anyway and the corned beef was dry, tough and flavorless.  Very disappointing, especially from a so-called Irish pub.  The fries were cold as my container was open when I received with a few fries sticking out of it.  Even the pickle was disgusting!  I will never order from here again.  "
262,5,Positive,We both really enjoyed the food.  Nice discovery.
263,2,Negative,I ordered a shepherd's pie with side salad and after two hours received a tin of ground lamb w/ veggies that had a scoop of mashed potatoes dropped in the middle... a really poor excuse for shepherd's pie from a place that should be able to do better. Also the side salad was not included.
264,5,Positive,Really good food!
265,5,Positive,"Best delivery food I have ever had. Fast, hot and delicious"
266,5,Negative,"Good food, but they forgot my complimentary soda bread, which made me sad."
267,5,Positive,"Love ordering food from Shawn ODonnell's.  Corned Beef and Pork Shanks this time.  Awesome!   Great delivery experience too, driver was very nice."
268,5,Positive,It’s a gem. I would definitely like to go there in person. 
269,2,Negative,Missed an item ordered.
270,5,Positive,My salad was fresh and delicious. I'll definitely order from this restaurant again.
271,5,Neutral,Everything was good. We would order from this place again.
272,5,Positive,I love Veggie Grill - it's a favorite
273,3,Negative,Tasty but expensive and sometimes gets orders incorrect
274,5,Positive,Great menu with lots of options and delicious
275,5,Positive,Very good food
276,1,Negative,you delivered the food an hour late. it's unacceptable
277,1,Neutral,The order wasn't delivered to the correct house
278,5,Positive,I love Veggie Grill! I had the Reuben and fries.
279,2,Negative,Don't know what happened tonight- usually great- but took 2.5 hours to arrive and was cold when it did
280,5,Positive,One of our favorite
281,5,Positive,Good food w/ hints of healthy
282,4,Positive,"I really like this place.  The food is consistently good and I'd order from them every day if I could.  I wish they'd bring back the ""beef"" barley soup, though.  That's some comfort food!"
283,5,Positive,Food is just GREAT!
284,5,Positive,Only the 2nd time I've ordered from them but will do more in the future based on this experience!
285,1,Negative,"Driver dropped food off somewhere random. Never got the food, and the driver never responded when I contacted them. I got a refund, but only for the cost of the food. They kept the tip... never again."
286,5,Positive,Great food. Great service.
287,5,Positive,We love Veggie Grill!
288,5,Positive,"The food was very good, I strongly recommend the fries!"
289,5,Positive,We love 💘 Veggie Grill.
290,5,Positive,"Not the healthiest vegetarian option, but the food is pretty darn tasty."
291,4,Negative,I don't understand why the driver disregards delivery instructions!?! Apts downtown are locked and require contacting the tenant to get into the building. I order for my son and put his contact information in the instructions so that they can get into the building to deliver. The last couple drivers I had don't bother to read the instructions! It's very frustrating to have to stop work to go outside and place a phone call to my son to go to get the food from the driver. It slows me down and them. They could cut out the middle man by reading the instructions
292,5,Neutral,I could use a little more details on gluten free items.
293,5,Positive,I honestly didn’t realize it was vegetarian until I was almost done - super great quality and they really nailed the taste. 
294,5,Positive,"Excellent food 😋, well prepared"
295,5,Positive,"Delicious food, and I love how easy it is to choose gluten free options"
296,2,Neutral,Kale & Quinoa salad was missing dressing and had a non gluten free protein added - even though the order was for a gluten free kale and quinoa salad with no protein.
297,5,Negative,"Yummy food. The portion size for this salad was very small tho, which is not my usual experience from Veggie Grill. I just ordered the wrong thing tho. Obvs a salad needs to have an add on to fill you up. 😂"
298,5,Positive,"Love it, so happy to see Veggie Grill on Grubhub!"
299,5,Negative,IT's great when they don't leave the food outside or hand to someone without verifying the name. One time out food was stolen like that!
300,5,Positive,Love the food!
301,5,Positive,I love it
302,5,Positive,Absolutely love this place
303,4,Positive,Good selection of items
304,1,Negative,First driver never even showed up to the restaurant. Second driver finally made it but was so backed up with orders they didn't get to me for another 30 minutes. My food was 90 minutes from preparation time and thus stone cold and inedible. Unacceptable experience from GrubHub. Will not use the service again.
305,4,Negative,Like their food wish there was a way to order and pay for extra queso
306,5,Positive,One of the better veggie burgers Ive had in a long time. Will be going back. 
307,5,Positive,Yummiest Beyond Burgers and fries
308,5,Positive,It's really good
309,2,Negative,Poor choices provided. The menu used to be good but since Veggie Grill removed items the selections have not been desirable. We always order the tacos but the corn tortillas are always stale by the time we get our food. Bring back the food items with some flavor. This is last time we will use veggie grill as this was strike 3. Things need to change back to the quality we came to expect when we first started eating from Veggie Grill.
310,3,Negative,They changed the way the sweet potato fries are made. Usually it has no salt on them. This time it was caked in salt. I regret wasting my money.
311,4,Positive,Food was tasty. The order took a long time to be prepared. Grubhub also does not direct their drivers to the front of our building. My driver was very polite and called to figure out how to get my food to me!
312,5,Positive,Awesome food and service!
313,2,Positive,"Food is good, but the order arrived an hour past the estimate and cold."
314,5,Positive,Veggie grill is awesome!
315,4,Positive,I liked the food options. The only suggestion I have is for the restaurant to allow an area to type out customizations/requests.
316,3,Positive,Great food normally. Came to me cold.
317,1,Negative,Food was cold because of driver
318,5,Negative,"Good, but order arrived 30 min early and by the time it was to eat, the paper containers were wet soaking into other containers"
319,5,Positive,Great vegan fast casual restaurant! Consistently good!
320,4,Positive,Delicious and healthy alternative to other fast food choices currently available
321,5,Positive,Veggie Grill always makes great food!
322,4,Negative,"Additional ingredient grillin' chickin' was overburned. Grilled to black, so I ended with thrashing the whole order. Veggie Grill should learn how to grill... I want my money back, excluding very decent Grubhub service. There should be an option for a refund if the food is bad."
323,5,Positive,I love veggie grill!
324,5,Positive,Good vegan food
325,5,Positive,Delicious break from animal products
326,5,Neutral,It's a good place for vegan comfort foods
327,4,Positive,Good. Food. Wow.
328,2,Negative,Originally the delivery time was about 40 minutes. But it actually took twice that long and my food was cold. And this isn’t the first time. Just don’t promise a delivery window you can’t actually keep. If I had known my food would be cold I would not have ordered. 
329,5,Positive,Very good food when not expensive.. great that they reduced prices during these corona days
330,1,Negative,My order was missing half of the items from my kid's order
331,5,Neutral,Veggie Grill is delicious and packs their food very well. Would order there again.
332,2,Negative,Driver had no mask or gloves and was remarkably slow
333,5,Positive,Love it!!!!! Keep up the great work!
334,4,Positive,The food was wonderful but I never got the brownie I ordered.
335,2,Neutral,Food was cold and took a half hour longer than first estimated 
336,1,Negative,Never received my order
337,5,Positive,The crunchy tacos are incredible! Love the carrot cake too. Wonderful service and fantastic food! 10/10
